reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
U0124569,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing No. 23008-004 (Revision B) as received 21/05/2024
Drawing No. 23008-LP as received 21/05/2024
Drawing No. 23008-SP as received 21/05/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124570,Materials,The external materials and finishes shall match the existing property unless otherwise specified on the approved plans.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0124571,Windows,"Prior to the commencement of the works approved, details of the design, construction, means of opening, and finish of any new windows shall be submitted to and approved in writing by the local planning authority prior to their installation in the building. Unless otherwise agreed in writing, the details shall include an elevation at 1:20 scale of each window type and 1:5 scale cross-sections. Development shall be carried out in accordance with the approved details.",To preserve the appearance of the conservation area in accordance with Local Plan policy 37,local-authority: DNC,Unique Condition,,,
U0124572,Tree Protection,"Prior to the commencement of the development hereby granted a scheme for the protection of the root protection areas of all trees shown for retention on the approved plan that complies with clause 6.2 of British Standard 5837: 2012 Trees in Relation to Design, Demolition and Construction - Recommendations shall be submitted to and approved in writing by the Local Planning Authority. Tree protection shall be implemented on site in accordance with the approved details and the local planning authority notified of implementation to approve the setting out of the tree protection scheme before any equipment, machinery or materials have been brought on to site for the purposes of the development. Thereafter, all tree protection shall be maintained in full accordance with the approved details until all equipment, machinery and surplus materials have been removed from the site, unless the local planning authority gives its written approval to any variation. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made, without the written consent of the Local Planning Authority.",To ensure that all trees are protected from damage during construction in accordance with Local Plan Policy 32.,local-authority: DNC,Unique Condition,,,
U0124586,in accordance with approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

- Location Plan, drawing no. OS24-1023-100
- Site Plan, drawing no. OS23-1023-101
- Proposed Floor Plans, drawing no. OS23-1023-102
- Proposed Elevations, drawing no. OS23-1023-103
- Condenser unit specifications
- Compressor Technical Data (Embraco)
- Condenser noise output data (received 24th June 2024)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124587,Implementation - 2 months,"The existing unauthorised condenser units shall be removed from the first floor elevation in their entirety, and the condenser units and associated housing structure hereby approved shall be installed in full, within two months of the date of this decision. The approved units and associated housing shall remain fully operational thereafter and retained for the lifetime of the development.",In the interests of residential amenity of neighbours,local-authority: DNC,Unique Condition,,,
U0124597,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed PLans (Including Site and Location Plans) as received 16/05/2024
Proposed Plans (Wall) as received 20/06/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124598,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Elevations (Drawing No. 002) as received 29/05/2024
Roof Plan (Drawing No. 103 - Revision A) as receievd 29/05/2024
Location Plan as received 29/05/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124599,Materials,The external materials and finishes shall match the existing property unless otherwise specified on the approved plans.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0124702,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Existing and Proposed Plans (Elevations) as received 10/06/2024
Existing and Proposed Plans (Side Elevations) as received 10/06/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124705,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing No. DRB 2 as received 30/05/2024
Location Plan as received 30/05/2024
Site Plan as received 16/07/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124708,Approved Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Existing Elevations incl. Site and Location Plan showing tree protection measures. Drawing number: 3897-02A. Revision: A. Date received: 13/06/2024.

Proposed Location Plan and Site Plan incl. First Floor Plans. Drawing number: 3897-04-A. Revision: A. Date received: 06/06/2024.

Proposed Elevations incl. Proposed Ground Floor Plans. Drawing number: 3897-03B. Revision: B. Date received: 16/07/2024.

Street Scenes. Drawing number: 3897-05B. Revision: B. Date received: 16/07/2024.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124709,Tree Protection,"Prior to commencement of the works and throughout the construction of the build, the Herras fencing as detailed on the approved plans shall be installed around the trees on site as proposed and retained until works are complete.",To ensure the adequate protection of on site trees in accordance with Policy 32 of the Local Plan prior to the commencement of development.,local-authority: DNC,Unique Condition,,,
U0124710,Obscure Glazing,"Before the first occupation of the building/extension hereby permitted, the windows serving the fist floor en-suites and bathroom as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,local-authority: DNC,Unique Condition,,,
U0124711,No PD Rear extensions,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no extensions beyond the approved rear elevation shall take place other than that expressly authorised by this permission shall be carried out without prior permission of the local planning authority.",To protect the remaining garden area and to reduce indirect pressure on a protected tree in accordance with Policies 32 and 44 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124713,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans: Revision B as received 01/07/2024
Site Plan: as received 28/05/2024
Location Plan: as received 28/05/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124738,In accordance with specified plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

- Location Plan
- Site Plan
- Proposed Ground Floor Plan, drawing no. MC1
- Proposed Elevations, drawing no. MC2A
- Ventilation/Extractor System specifications (accelerator cone manufacturer details received 21/06/2024)
- Ventilation/Extractor System specifications (accelerator cone diagram received 11/07/2024)
- Details of proposed discharge velocity (email from Michael Chandler ""Re: 3 Copley Road 24/00651/FUL"" received 15:01 on 15/07/2024)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124739,Implementation of extraction/ventilation,"The extraction/ventilation details hereby approved shall be implemented in full within 28 days of the date of this decision, and shall be fully operational at all times whilst the preparation of hot food is undertaken at the premises.","In the interests of protecting neighbouring residential amenity from unwanted odours, noise and vibrations.",local-authority: DNC,Unique Condition,,,
U0124740,In accordance with specified plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

- Location Plan, drawing no. 1423-MIU-ZZ-ZZ-DR-A-P000
- Proposed Floor Plans, drawing no. 001K
- Proposed Elevations, drawing no. 004K",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124741,Extraction/ventilation,"Prior to the occupation of the development or use hereby granted, details of an extraction/ventilation system to control the emission of cooking smells and fumes so as to prevent any odour disamenity to nearby residents shall be submitted to and approved by the local planning authority in writing. The approved scheme shall be installed and be fully operational when the use commences. All equipment installed as part of the scheme shall thereafter be operated and maintained in accordance with the manufacturer's instructions. 

The extraction/ventilation system shall be so designed as to ensure that the rating level of noise from its operation does not cause adverse impact (when assessed using BS4142: 2014 +A1: 2019 methodology) to nearby residents. This shall include design steps to ensure that any vibration through the structure from the mounting of the flue on the wall against the first floor flat does not cause adverse impact.",To safeguard the amenities of the occupiers of adjoined and adjacent properties.,local-authority: DNC,Unique Condition,,,
U0124742,Roller shutter alteration,"Prior to relevant works, details of any alteration/modification to the roller shutter giving access to the side yard shall be submitted to and approved in writing by the Local Planning Authority. Development shall be carried out in accordance with the approved details.",To protect the appearance of the building and surrounding area.,local-authority: DNC,Unique Condition,,,
U0124743,Opening hours,"The hours of opening of the restaurant and micro-pub hereby approved shall be limited to:
Mondays to Wednesday inclusive: 1100 hours to 2230 hours
Thursday to Saturdays inclusive: 1100 hours to 2300 hours
Sundays: 1100 hours to 2200 hours",To ensure that the development does not prejudice the local amenity.,local-authority: DNC,Unique Condition,,,
U0124744,Delivery hours,All deliveries of goods and collections of waste shall only take place between the hours of 07:00 and 23:00 hours.,To safeguard the amenities of the occupiers of adjoined and adjacent properties.,local-authority: DNC,Unique Condition,,,
U0124800,plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Unlabelled Proposed Floor Plans received 18/06/2024.
Unlabelled Elevation Plans received 18/06/2024.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124801,noise,"Prior to first occupation, a report shall be submitted to the Local Planning Authority for approval by the local planning authority, demonstrating the acoustic assessment and specified design criteria contained in Section 4.2 ""Scheme of Sound Attenuation"" of the Environmental Noise Solutions Ltd report dated 15 May 2024 have been implemented. The separating floor between the proposed first floor residential use and the ground floor restaurant / retail unit must also be upgraded to achieve at least 60 dB DnT,w and must be included in the submitted report. Any assessments required will be undertaken at times of typical licensed premises activity, both for the day and night, preferably over a weekend.

All requirements contained within the approved report shall be implemented and a commissioning report demonstrating actual compliance shall be submitted for approval, prior to first occupation of the residential units. No occupation shall be permitted until such report is approved.",In the interests of the amenity of the occupiers as required by Policies 44 and 54 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124802,waste,"Prior to first occupation of the building, the applicant shall submit for approval by the LPA, a waste management plan addressing waste storage and its presentation for collection. All approved requirements shall be implemented prior to first occupation and subsequently complied with at all times.","In the interests of amenity of residents and the street scene as required by Policies 9, 13 and 44 of the Local Plan.",local-authority: DNC,Unique Condition,,,
U0124803,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing No. PRJ-01-004 as received 18/06/2024
Drawing No. PRJ-01-005 as received 18/06/2024
Drawing No. PRJ-01-007 as received 18/06/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124804,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Unique Condition,,,
U0124805,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Proposal 3602-05F received 16.07.2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124806,Tree Protection Measures,"The development hereby granted shall be carried out in accordance with the measures and practices outlined within the Arboricultural Method Statement AMS 0478, prepared by Selwyn Trees. The tree protection measures shall be implemented on site in accordance with the approved details prior to the commencement of development. The local planning authority shall be notified in writing of the implementation of the measures before any equipment, machinery or materials have been brought on to site for the purposes of the development. Thereafter, all tree protection measures shall be maintained in full accordance with the approved details until all equipment, machinery and surplus materials have been removed from the site. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made, without the written consent of the Local Planning Authority.",To ensure that all trees are protected from damage during construction in accordance with Local Plan Policy 32.,local-authority: DNC,Unique Condition,,,
U0124807,Container Removal,"The container hereby permitted shall be for a limited period of 10 years from the date of this decision. At the end of this period, the container hereby permitted shall be removed and the land restored in accordance with a scheme previously submitted to and approved in writing by the local planning authority.",The container hereby approved is not considered suitable as a permanent form of development.,local-authority: DNC,Unique Condition,,,
U0124808,Contamination (CON1),"Prior to the commencement of development, a contaminated land assessment and associated remedial strategy, together with a timetable of works, shall be submitted to and approved in writing by the Local Planning Authority (LPA).

a) The Phase I desktop study, site walkover and initial assessment must be submitted to the LPA for approval. Potential risks to human health, property (existing or proposed) including buildings, livestock, pets, crops, woodland, service lines and pipes, adjoining ground, groundwater, surface water, ecological systems, archaeological sites and ancient monuments must be considered. The Phase 1 shall include a full site history, details of a site walkover and initial risk assessment. The Phase 1 shall propose further Phase 2 site investigation and risk assessment works, if appropriate, based on the relevant information discovered during the initial Phase 1 assessment. 

b) The Phase 2 site investigation and risk assessment, if appropriate, must be approved by the LPA prior to investigations commencing on site. The Phase 2 investigation shall include relevant soil, soil gas, surface and groundwater sampling and shall be carried out by a suitably qualified and accredited consultant/contractor in accordance with a quality assured sampling and analysis methodology and current best practice. All the investigative works and sampling on site, together with the results of analysis, and risk assessment to any receptors shall be submitted to the LPA for approval. 

c) If as a consequence of the Phase 2 Site investigation a Phase 3 remediation report is required, then this shall be approved by the LPA prior to any remediation commencing on site. The works shall be of such a nature as to render harmless the identified contamination given the proposed end-use of the site and surrounding environment including any controlled waters, the site must not qualify as contaminated land under Part 2A of the Environment Protection Act 1990 in relation to the intended use of the land after remediation.

d) The approved Phase 3 remediation works shall be carried out in full on site under a quality assurance scheme to demonstrate compliance with the proposed methodology and best practice guidance. The LPA must be given two weeks written notification of commencement of the remediation scheme works. If during the works, contamination is encountered which has not previously been identified, then all associated works shall cease until the additional contamination is fully assessed and an appropriate remediation scheme approved by the LPA. 

e) Upon completion of the Phase 3 works, a Phase 4 verification report shall be submitted to and approved by the LPA. The verification report shall include details of the remediation works and quality assurance certificates to show that the works have been carried out in full accordance with the approved methodology. Details of any post-remedial sampling and analysis to show the site has reached the required clean-up criteria shall be included in the verification report together with the necessary documentation detailing what waste materials have been removed from the site. The site shall not be brought into use until such time as all verification data has been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Policies 54 and 55 of the Local Plan.",local-authority: DNC,Unique Condition,,,
U0124809,Operating Hours,"The hours of operation shall be limited to

8am - 8pm Monday to Friday
8am - 6pm Saturday
9am - 4pm Sunday
Not at all on bank holidays",To ensure that the development does not prejudice the local amenity.,local-authority: DNC,Unique Condition,,,
U0124810,Demolition / Construction Hours,"Demolition or construction works shall not take place outside:

8am - 6pm Monday to Friday
8am - 1pm Saturday
nor at any time on Sundays or Bank Holidays.",To safeguard the amenities of the occupiers of the adjoining properties.,local-authority: DNC,Unique Condition,,,
U0124811,No Outside Working,"No outside industrial activity of any kind, except for loading and unloading, shall take place within the curtilage of the site to which this permission relates.",To ensure that the development does not prejudice the local amenity.,local-authority: DNC,Unique Condition,,,
U0124812,Open Storage Restriction,"No storage of equipment, goods or materials shall take place within the application site other than within a building or container.",To safeguard the amenities of occupiers of adjoining properties.,local-authority: DNC,Unique Condition,,,
U0124813,Bin Store,"Prior to the commencement of works above ground, details of the bin store shall be submitted to and approved in writing by the local planning authority.",In the interests of visual amenity.,local-authority: DNC,Unique Condition,,,
U0124814,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan as received 18/06/2024
Site Plan as received 18/06/2024
Existing and Proposed Plans (Floor Plans) as received 24/06/2024
Existing and Proposed Plans (Elevations) as received 18/06/2024
Proposed Elevations as received 18/06/2024",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124817,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

P13 4832 104 Rossington Drain & Playspaces Landscape Proposals (rec. 18.04.24)
P13 4832 105 Rossington Drain & Playspaces Landscape Proposals (rec. 18.04.24)
P13 4832 111 Rossington Drain Management Plan (rec. 18.04.24)
P13 4832 112 Rossington Drain Management Plan (rec. 18.04.24)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124839,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Unique Condition,,,
U0124840,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Site Plan (24-030-2 Rev A) (received 02 July 2024)
- Proposed Elevations (24-030-4 Rev A) (received 02 July 2024) 
- Proposed Plans (24-030-3 Rev A) (received 02 July 2024) 
- Proposed Section (24-030-7 Rev B) (received 19 July 2024)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124841,Obscure Glazed Windows,"Before the occupation of the dwelling hereby permitted, any window serving an ensuite or bathroom as shown on the approved plans shall be fitted with obscure glazing at a level of Obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter.",To ensure that the development does not impact on the privacy of the adjoining premises in accordance with Policy 10 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124842,Contamination (CON2),"Should any unexpected significant contamination be encountered during development, all associated works shall cease, and the Local Planning Authority (LPA) shall be notified in writing immediately. A Phase 3 remediation and Phase 4 verification report shall be submitted to the LPA for approval. The associated works shall not re-commence until the reports have been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Policies 54 and 55 of the Local Plan.",local-authority: DNC,Unique Condition,,,
U0124843,Contamination (CON3),"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the Local Planning Authority (LPA) prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Policies 54 and 55 of the Local Plan.",local-authority: DNC,Unique Condition,,,
U0124844,Surfacing (HIGH1),"Before the development is brought into use, that part of the site to be used by vehicles shall be surfaced, drained and where necessary marked out in a manner to be approved in writing by the local planning authority.",To ensure highway safety is protected in accordance with Policy 13 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124845,Vehicle Turning Space (HIGH2),The vehicle turning space as shown on the approved plans shall be constructed before the development is brought into use and shall thereafter be maintained as such.,To avoid the necessity of vehicles reversing on to or from the highway and creating a highway hazard.,local-authority: DNC,Unique Condition,,,
U0124846,Parking (HIGH3),"Before the development hereby permitted is brought into use, the parking as shown on the approved plans shall be provided. The parking area shall not be used otherwise than for the parking of private motor vehicles belonging to the occupants of and visitors to the development hereby approved.",To ensure that adequate parking provision is retained on site.,local-authority: DNC,Unique Condition,,,
U0124847,PD Restriction,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no development shall be carried out on any part of the land other than that hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with Policies 10 and 44 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124848,Boundary Treatments,"No occupation of the proposed dwelling shall take place until a plan indicating the positions, design, materials, height, and type of boundary treatment to be erected on site, including any gates has been submitted to and approved in by the local planning authority. The details as approved shall be completed before the occupation of any buildings on site.",To ensure the satisfactory appearance of the development as required by Policy 10 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124849,Soft Landscaping,"The scheme of landscaping shown on the submitted Landscape Plan (24-030-6) shall be begun during the first available planting season following the commencement of the development hereby granted. It shall thereafter be maintained by the site owner for a period of five years. Any tree or shrub planted in accordance with the scheme which becomes damaged or diseased, or dies or is removed within the five years shall be replaced during the next planting season. Any staking, tying, weeding, watering and other action deemed necessary by the Local Planning Authority shall be carried out by the owner in accordance with the Authority's publication 'Landscape Specification in Relation to Development Sites'.",To ensure the maintenance of a healthy planting scheme in the interests of amenity.,local-authority: DNC,Unique Condition,,,
U0124850,In accordance with specified plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

- Location Plan, drawing no. 35RR_LP_05_24
- Proposed Site Plan, drawing no. 35RR_PrSP_AM_07_24
- Proposed Elevations, drawing no. 35RR_PrEL_07_24
- Proposed Layout Plans, drawing no. 35RR_PrFP_AM_17_07_24",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124852,Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed site plan. Date received: 29/05/2024.

Proposed elevations and floor plans. Dwg no. 83/002. Date received: 29/05/2024.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124853,FA01 Floor levels,Floor levels within the proposed development will be set at the same level as existing floor levels.,To ensure that any new development complies with Environment Agency standing advice,local-authority: DNC,Unique Condition,,,
U0124854,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing Title: Proposed Plans and Elevations.
DRG No: 672_2023_02.
Date: Dec 2023.

Drawing Title: Block Plan (Proposed Site Plan (Scale of 1:500)). 
DRG No: 672_2023_05.
Date: Dec 2023.

Drawing Title: Proposed Outbuilding Plans and Elevations.
DRG No: 672_2023_05.
Date: Dec 2023.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124855,Annexe Condition.,The detached annexe hereby approved shall be used in connection with and have reliance upon the main dwelling house of Oaklea. The detached annexe and shall not be used as a separate independent residential unit in its own right.,To ensure the proper planning control of the application site.,local-authority: DNC,Unique Condition,,,
U0124884,BS3998,All work must be carried out to British Standard 3998:2010 Tree Work - Recommendations.,To ensure the work is carried out in a correct manner to protect the health of the tree (s) and its contribution to the visual amenity and character of the local landscape.,local-authority: DNC,Unique Condition,,,
U0124885,TIMESCALE,This consent is valid for a period of 2 years beginning with the date of this consent and all works can only be carried out once.,To ensure approved works are carried out in an appropriately timed and proper manner.,local-authority: DNC,Unique Condition,,,
U0124886,Permitted works,Work shall be limited to: Increasing the clearance above ground level by no more than 3.5 metres,To define the extent of the work permitted ensuring potentially harmful effects of the pruning are minimised.,local-authority: DNC,Unique Condition,,,
U0124887,BS3998,All work must be carried out to British Standard 3998:2010 Tree Work - Recommendations.,To ensure the work is carried out in a correct manner to protect the health of the tree (s) and its contribution to the visual amenity and character of the local landscape.,local-authority: DNC,Unique Condition,,,
U0124888,timescale,This consent is valid for a period of 2 years beginning with the date of this consent and all works can only be carried out once.,To ensure approved works are carried out in an appropriately timed and proper manner.,local-authority: DNC,Unique Condition,,,
U0124889,work,"Work shall be limited to undertaking the following work as listed below from Doncaster Borough Council Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Ave:
G5 - All trees: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break. 
G6 - All trees: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break.
G7 - All trees: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break.
x1 Walnut rear of 23 Stone Font Grove: Branch end reduction, reduce property side lateral branch spread by 2m on North side of tree
G8 - All trees: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break.
x4 Sycamore rear of 16, 18 + 20 Temple Gardens: Branch end reduction, reduce property side lateral branch spread by 2m on South East
side of trees.
x1 Sweet Chestnut, significant deadwood in upper canopy, remove all major deadwood in top of crown. 
G9 - All trees: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break
x1 Sweet Chestnut rear of 4/6 Stone Font Grove: Branch end reduction, reduce property side lateral branch spread by 2m on Eastern side of
tree.
T28 - 35: Crown lift to 3m, remove all major deadwood, remove basal and stem sucker shoots up to 5m or crown break.",To define the extent of the work permitted ensuring potentially harmful effects of the pruning are minimised.,local-authority: DNC,Unique Condition,,,
U0124890,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plan specified below: 

- Drawing number 1903.102 (Proposed Floor Plans, Elevations, Site and Site Location Plans) received on 17.07.2024.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124891,Security Measures,"The following security measures shall be installed before the development hereby permitted is brought into use and be retained thereafter:

1.	All doors and windows must comply with PAS 24 (2022) or LPS 1175 SR2. 
2.	The glazing units should consist of a minimum of one pane of glass that achieves compliance under the BS EN356 P1A attack resistance standard. 
3.	External lighting to all facades controlled by dawn to dusk sensors. The system should comply with security standard BS 5489 -1:2013 
4.	A CCTV system on the exterior of the property. An operational requirements report should be completed to ensure that the system is fit for purpose. Further information is available from the Government website: 
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/378443/28_09_CCTV_OR_Manual2835.pdf","In the interests of safeguarding vulnerable children and to create an environment where crime, and the fear of crime, do not undermine quality of life or community cohesion and resilience, in accordance with NPPF (Dec 2023) paragraphs 96(a), 101, 135(f) and Doncaster Local Plan policies 10(A.1), 47 and 50.",local-authority: DNC,Unique Condition,,,
U0124892,Maximum of 3 Staff,There shall be a maximum of three staff members working at the property at any given time.,To prevent the over-intensification of the business in a residential area as required by policies 10 and 46 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124893,Maximum of 3 Children,No more than 3 children shall be cared for at the premises at any given time. A weekly register of those registered children shall be maintained and made available for inspection on request by the Local Planning Authority for the lifetime of the development. No less than six consecutive months' worth of registers shall be available for inspection.,To prevent the over-intensification of the business in a residential area as required by policies 10 and 46 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0124929,Implementation - removed,Removed.,,local-authority: DNC,Unique Condition,,,
U0124930,Reserved matters - removed,Removed.,,local-authority: DNC,Unique Condition,,,
U0124931,Approval of details - removed,Removed.,,local-authority: DNC,Unique Condition,,,
U0124932,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location plan received 20.11.23
Proposed Site Plan dated 15 November 2023 received 16.11.23
Gomde UK_Temple elevation 01 South received 12.06.24
UK_Temple elevation 02 West-East received 12.06.24
Gomde UK_Temple elevation 03 North received 12.06.24
Temple_00 Basement plan received 12.06.24
Temple_01 Ground floor plan received 12.06.24
Temple_02 1st floor plan received 12.06.24
Temple_03 2nd floor plan received 12.06.24
Temple_04 3rd floor plan - roof received 12.06.24
Temple_section 01 A-A_A2 received 12.06.24
Temple_section 02 B-B_A2 received 12.06.24
Temple_section 03 C-C received 12.06.24
Temple_Main facade_Decoration principles received 12.06.24
Limestone blocking and window brow received 15.05.24

Surface water details May 2024 received 12.06.24
Pond maintenance received 16.11.23
Facade and Sections 01 received 16.11.23
Facade and Sections 02 received 16.11.23
Facade and Sections 03 received 16.11.23
Ground Floor Plan received 16.11.23
First Floor Plan received 16.11.23
Second Floor Plan received 16.11.23
Info and Shop Plans, Facade and Section received 16.11.23
Lindholme Hall Workshop received 16.11.23",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0124933,Passing places,The passing places as shown on the approved drawings 'Highway Passing Places Locations' and 'Highway Widening Details' shall be implemented in accordance with the agreed details prior to occupation of any part of the development on the site.,To improve the access to the site to allow vehicles to pass one another in order to protect highway safety in accordance with Policy 13.,local-authority: DNC,Unique Condition,,,
