reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
U0117025,PLANS,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan- Drawing Number: 1245- 016, Rev: A, Received: 24/11/2023
Site Plan - Drawing Number: 1245- 017, Rev: A, Received: 24/11/2023
Street Scenes - Drawing Number: 1245- 019, Received: 04/1/2024
Proposed Elevations - Drawing Number: 1245-018, Received: 21/11/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117031,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0117032,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Location Plan (3843) (received 05 December 2023)
- Block Plan (received 05 January 2024)
- Proposed Details (JBA.3843.101.B)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117035,Approved Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Existing and Proposed Plans including Site and Location Plan. Date received: 19/12/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117036,matching roof tiles,The roof tiles used in the development shall match those on the existing property.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117042,Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Site Location Plan (drawing no. 8806.16-BOW-AO-ZZ-DR-A-1010 Revision P1) 
Existing Site Plan (drawing no. 8806.16-BOW-AO-ZZ-DR-A-1011 Revision P2) 
Existing and Proposed Sectional Elevations (drawing no. 8806.16-BOW-A0-ZZ-DR-A-1013 Revision P1)
Proposed Site Plan (drawing no. 8806.16-BOW-AO-ZZ-DR-A-1012 Revision P2) 
Charger Specifications Sheet - Terra 94/124/184 UL 
DC Fast Charging Station. Standing Advice Flood Risk Assessment (Version 2 dated September 2023).",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117043,EA,"The development shall be carried out in accordance with the submitted flood risk assessment (ref September 2023 / GridServe / LCO-JBAU-XX-XX-RP-Z-0001) and the following mitigation measures it details:

o The concrete foundation which holds the sub-station and charging infrastructure, shall be set no lower than 150mm above the surrounding ground levels
o The electrical cabling and substation hardware should be set at a height of 150mm above the surrounding ground level
These mitigation measures shall be fully implemented prior to occupation and subsequently in accordance with the scheme's timing/ phasing arrangements. The measures detailed above shall be retained and maintained thereafter throughout the lifetime of the development.",To reduce the risk of flooding to the proposed development and future occupants,	local-authority:DNC,Unique Condition,,,
U0117044,Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:
window detail unit 1 - 2nd floor 10.11.2023
window detail 1st floor 10.11.2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117045,detailed drawings,Prior to commencement of relevant works details of replacement windows to be supplied to and agreed in writing by the Local Planning Authority. Windows shall be fully working vertically sliding sash windows in white/off-white and as shown in window detail drawings for 1st floor and 2nd floor. Glazing bars to be applied externally unless otherwise agreed in writing by Local Planning Authority. Works shall be carried out in accordance with approved drawings.,To enhance the character and appearance of the conservation area.,	local-authority:DNC,Unique Condition,,,
U0117047,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans (Includes Site Plan) -  Drawing No. 22-01-100 (Rev 01) as received 18/12/2023
Existing Plans (Includes Location Plan) - Drawing No. 22-01-200 as received 27/10/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117048,EXTERNAL FINISHES,Details of all external finishes and materials including colour shall be submitted to and approved by the Local Planning Authority prior to the relevant stage of works.,To safeguard the interests of the Conservation Area in accordance with Policy 37 Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117052,Details,"Prior to commencement of relevant works details of the railings, steps and pathway shall be submitted to and agreed in writing by the Local Planning Authority. Materials and details shall match relevant nearby examples unless otherwise agreed in writing by the Local Planning Authority. 
Samples shall be provided on site for the approval of the Local Planning Authority of 
o	the railings, 
o	the stone to be used for the steps, and 
o	the edges and the hoggin to be used on the pathway
Works to be carried out in accordance with approved details.","To respect the special interest of the listed building, protect the Park and Garden of Special Interest and preserve the character and appearance of the conservation area.",	local-authority:DNC,Unique Condition,,,
U0117058,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan: as received 15/11/2023
Proposed Plans: Revision 3 (sheets 1 to 4 inclusive) as received 15/11/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117059,Illumination levels,The luminance of the advertisement hereby approved shall not exceed a maximum of 300 cd/m2.,In the interests of highway safety and local visual amenity in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117061,Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed plan & elevations - Proposed single storey extensions to Edale, Old Cantley.
Date received: 22/11/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117062,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Title/Drawing Name: Proposed Block Plan (Proposed Site Plan).
Scale: 1:500.
Drawing No: 03.
Date: 29.11.2023.
Revision: V2.

Title/Drawing Name: Existing and Proposed Elevations. 
Scale: 1:100.
Drawing No: 06.
Date: 29.11.2023.
Revision: V2.

Title/Drawing Name: Proposed Plans.
Scale: 1:100.
Drawing No: 05.
Date: 29.11.2023.
Revision: V2.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117064,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan: as received 14/08/2023
Proposed Elevations: Drawing No. 001 as received 03/01/2024",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117065,Luminance of advert,The luminance of the advertisement hereby approved shall not exceed a maximum of 600 cd/m2.,In the interests of highway safety and local visual amenity in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117071,Approved Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Existing and Proposed Plans including Site and Location Plan. Date received: 12/12/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117072,Materials,The external materials and finishes shall be off-white render in accordance with the proposed plans.,To ensure the satisfactory appearance of the development in accordance with policy 41 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117073,Obscure Glazing,"Before the first occupation of the building/extension hereby permitted, the windows serving the first floor en-suite as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0117118,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Location Plan. Date received: 17/12/2023.

Site Plan. Date received: 10/11/2023.

Existing Floor Plans. Drawing number: 900/12815 - 1 of 4. Date received: 10/11/2023.

Existing Elevations. Drawing number: 900/12815 - 2 of 4. Date received: 17/11/2023.

Proposed Floor Plans. Drawing number: 900/12815 - 3 of 4. Date received: 10/11/2023.

Proposed Elevations. Drawing number: 900/12815 - 4 of 4. Date received: 10/11/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117131,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing Title: Block Plan (Proposed Site Plan).
Scale: 1:500.
Date: 15/09/2023.
DWG No: 2LR_BP_09_23.

Drawing Title: Proposed Floor Plan.
Date: 10/04/2023.
DWG No: 2LF_ExFP_04_23.

Drawing Title: Existing and Proposed Elevation Plan (AMENDMENT 10/11/23).
Date: 10/11/2023.
DWG No: 2LF_ExPrEL_11_23.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117174,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Title: Proposed Site Plan.
Scale: 1:500.
Date: Nov 23.
Project No: 230918.
Number: 02.

Title: Proposed Plans.
Scale: 1:50.
Date: Nov 23.
Project No: 230918.
Number: 05.

Title: Proposed Elevations.
Scale: 1:100.
Date: Nov 23.
Project No: 230918.
Number: 06.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117177,Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:
Location Plan received 11.10.23
DGW1-BBA-Z1-00-DR-A-2001 Proposed Ground Floor GA Plan P11 received 11.10.23
DGW1-BBA-Z1-01-DR-A-2001 Proposed First Floor GA Plan P11 received 11.10.23
DGW1-BBA-Z1-02-DR-A-2001 Proposed Second Floor GA Plan P11 received 11.10.23
DGW1-BBA-Z1-03-DR-A-2001 Proposed Third Floor GA Plan P11 received 11.10.23
DGW1-BBA-Z1-04-DR-A-2001 Proposed Fourth Floor GA Plan P11 received 11.10.23
DGW1-BBA-Z1-05-DR-A-2001 Proposed Fifth Floor GA Plan P13 received 11.10.23
DGW1-BBA-Z1-RF-DR-A-2001 Proposed Roof GA Plan P11 received 11.10.23
DGW1-BBA-Z1-ZZ-DR-A-3001 GA Elevations Sheet 1 P08 received 11.10.23
DGW1-BBA-Z1-ZZ-DR-A-3002 GA Elevations Sheet 2 P09 received 11.10.23
DGW1-BBA-Z1-ZZ-DR-A-3003 GA Elevations Sheet 3 P09 received 11.10.23
DGW1-BBA-XX-XX-SH-L-0001 - LANDSCAPE MATERIALS & ELEMENTS PALETTE & OUTLINE SPECIFICATION - P03 received 30.11.23
DGW1-BBA-Z0-SL-DR-L-1003 P11 Landscape GA Plan - received 8.12.23
DGW1-BBA-Z0-SL-DR-L-1004 P09 Soft Landscape Strategy Plan - received 8.12.23
DGW1-BBA-Z0-SL-DR-L-1007 P02 Hardworks Plan - received 29.11.23
DGW1-BBA-Z0-SL-DR-L-1008 P02 Planting Plan - received 29.11.23
DGW1-BBA-ZZ-SL-DR-L-7004 P04 External Furniture Details - received 29.11.23
DGW1-BBA-ZZ-SL-DR-L-7005 P01 Fencing Details - received 29.11.23
DGW1-BBA-ZZ-SL-DR-L-7007 P02 Landscape Interface Detail 02 - received 29.11.23",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117178,Landscaping,"Notwithstanding the submitted landscape plans, prior to the construction of the area of public open space, details of all external landscape works shall be submitted to and approved in writing by the Local Planning Authority (LPA). Unless otherwise agreed in writing with the LPA, this information should include the following details:

o	Hard landscape- exact product details for surface materials, edges, street furniture- locations and designs for lighting and / or CCTV columns and lamps, bins, benches, bollards, pedestrian guard rails, cycle stands;
o	Boundaries- boundary wall / railing details to public open space including means of enclosure to south western edge of POS adjacent taxi rank / disabled drop off to provide enclosure and restrict pedestrian movement through landscaped areas; 
o	Public art- details of proposed small scale public art /feature(s) (which could be integrated into the boundary features); 
o	Design details of stepped auditorium ampitheatre landscape feature to be submitted and agreed, as indicated on Hardworks plan (DGW1-BBA-z0-SL-DR-L-1007- P01). This feature is to be integrated into mounding on eastern part of POS to function as seating and informal play feature;
o	Management and maintenance strategy - detailed management and maintenance strategy for all elements of the public realm, including details of hard and soft landscape aftercare, strategy for replacement soft landscape, surface materials and street furniture.
o	Soft landscape scheme - this shall include a soft landscape plan; a schedule providing plant and tree numbers and details of the species, which shall comply with the Council's Transitional Developer Requirements Document, nursery stock specification in accordance with British Standard 3936: 1992 Nursery Stock Part One and planting distances of trees and shrubs; a specification of planting and staking/guying; a timescale of implementation; a detailed specification for tree pit construction that utilises a professionally recognised method of construction to provide the minimum rooting volume set out in the Council's guidance and a load-bearing capacity equivalent to BS EN 124 2015 Class C250 for any paved surface above; a specification for planting including details of tree support, tree pit surfacing, aeration and irrigation and details of management and maintenance for a minimum of 10 years following practical completion of the landscape works. 

Thereafter the landscape scheme shall be implemented in full accordance with the approved details and the Local Planning Authority shall be notified in writing within 7 working days to approve practical completion of any planting within public areas or adoptable highway within the site. Any part of the scheme which fails to achieve independence in the landscape, or is damaged or removed within 10 years of planting shall be replaced within 4 weeks of notification to the applicants, in full accordance with the approved scheme, unless the local planning authority gives its written approval to any variation.","To ensure a satisfactory appearance and quality of development in line with local plan policies 42, 46, 47, and 48",	local-authority:DNC,Unique Condition,,,
U0117179,Landscaping Implementation Report,"Following the commencement of the development and before 30th September of every year during the implementation period (either phased or in full) and aftercare period, a 'Landscaping Implementation Report' shall be prepared by a suitably qualified landscape architect and / or contractor, and submitted by the developer to the Local Planning Authority in order to demonstrate that the landscaping has been carried out in full accordance with the approved landscaping details. The report should record the landscaping operations carried out on the land since the date of commencement, or previous report / aftercare meeting, and set out the intended operations for the next 12 months. It shall cover the following matters in particular, but not limited to, species, size, location, planting and aftercare specification, and be illustrated with evidence such as an overall progress summary, inspection site visit notes, a schedule of maintenance operations undertaken, before and after photos of any remedial plantings or completed works. If required, the developer shall arrange to attend a site meeting with the Local Planning Authority to inspect the planting and ongoing maintenance requirements.",To ensure site landscaping works are undertaken as approved in accordance with Policy 48,	local-authority:DNC,Unique Condition,,,
U0117180,Materials,"Prior to commencement of above ground works, product details of the proposed external materials shall be submitted to and approved in writing by the Local Planning Authority. This may include submission of samples if requested by the Local Planning Authority. Unless otherwise agreed in writing with the Local Planning Authority, the development shall be carried out in accordance with the approved materials.",To ensure the satisfactory appearance of the development,	local-authority:DNC,Unique Condition,,,
U0117181,Large Scale Design,"07.  Prior to commencement of above ground works, large scale details, including materials, colours and finishes, at a minimum of 1:20 scale of the items listed below, shall be submitted to and approved in writing by the Local Planning Authority:
a)    dummy window and upper level window reveals
b)    Windows with  window reveals of a minimum 150mm,
c)     Shopfronts and entrance doors at ground floor level,
d)    Balconies enclosures to southern elevation,
e)    The proposed standalone bin store,
f)     Brick detailing including projecting brickwork and soldier coursing to masonry areas,
g)   Rooftop plant layout,
h)   GRP substation details
Thereafter, the works shall be carried out in accordance with the approved details.",To ensure the satisfactory appearance of the development in accordance with Local Plan Policy 48.,	local-authority:DNC,Unique Condition,,,
U0117182,BREEAM review,"Within 6months of first occupation, a post construction BREEAM review shall be carried out by a licensed assessor to confirm the rating of BREEAM 'excellent' has been achieved and submitted to the Local Planning Authority for approval.",In the interests of sustainability and to minimise the impact of the development on the effects of climate change,	local-authority:DNC,Unique Condition,,,
U0117183,C02 and renewables,"Prior to commencement of above ground works, a statement has been submitted to the local planning authority and approved in writing, explaining how CO2 emissions generated by the development will be reduced. At least 10% of the development's energy consumption must be generated using on-site renewable energy equipment or improvements to the fabric efficiency of the building. Unless otherwise agreed in writing by the local planning authority, the development shall then proceed in accordance with the approved report. 

To enable full discharge of this condition, prior to the occupation of the building, evidence to demonstrate that the agreed measures have been installed must be provided and agreed by the local planning authority.",In the interests of sustainability and to minimize the impact of the development on the effects of climate change.,	local-authority:DNC,Unique Condition,,,
U0117184,Remedial Works,"All remedial works shall be in accordance with Arc Environmental. Remediation Strategy for Gateway 1. Ref 22-143. 27/11/23, unless otherwise approved in writing with the LPA.

a) The approved Phase 3 remediation works shall be carried out in full on site under a quality assurance scheme to demonstrate compliance with the proposed methodology and best practice guidance. The LPA must be given two weeks written notification of commencement of the remediation scheme works. If during the works, contamination is encountered which has not previously been identified, then all associated works within that location shall cease until the additional contamination is fully assessed and an appropriate remediation scheme approved by the LPA.  

b)  Upon completion of the Phase 3 works, a Phase 4 verification report shall be submitted to and approved by the LPA. The verification report shall include details of the remediation works and quality assurance certificates to show that the works have been carried out in full accordance with the approved methodology. Details of any post-remedial sampling and analysis to show the site has reached the required clean-up criteria shall be included in the verification report together with the necessary documentation detailing what waste materials have been removed from the site. The site shall not be brought into use until such time as all verification data has been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policy 54 & 55.",	local-authority:DNC,Unique Condition,,,
U0117185,"OFFICE at upper only, Class E at Gfloor","Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) and the Town and Country Planning (Use Classes) Order 1987, or any Order revoking and re-enacting that Order with or without modification), the upper floors of the development hereby approved (first floor, second floor, third floor and fourth floorl) shall only be used/occupied by uses falling within Use Class E(g), and for no other purpose (including any other purpose in Class E of the Schedule to the Use Classes Order). Additionally the ground floor units shall only be used/occupied by uses falling within Use Class E of the Town and Country Planning (Use Classes) Order 1987, or any Order revoking and re-enacting that Order with or without modification).",To ensure that the building is only used for its intended use and cannot be converted to other uses and thus bypass the Sequential Test exercise which is required by Local Plan Policy 22- Part 1 and to ensure future occupiers are not impacted by air quality in accordance with Policy 54 of the Local PLan.,	local-authority:DNC,Unique Condition,,,
U0117186,GF - no combining of units,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) and the Town and Country Planning (Use Classes) Order 1987, or any Order revoking and re-enacting that Order with or without modification), the ground floor units cannot be amalgamated into any other arrangement and must remain as two separate commercial units as indicated on the approved floorplan: Proposed Floorplan - Ground Floor Plan, DGW1 BBA Z1 00 DR A 2001 P11 Received: 11/10/2023.",To ensure that the development does not bypass the Impact Assessment exercise which is required by Local Plan Policy 22- Part 2.,	local-authority:DNC,Unique Condition,,,
U0117187,BNG on site,The proposed development shall deliver 1.3 biodiversity units on site as described in the submitted Biodiversity Metric dated 22 November 2023. Any changes to the proposed onsite landscaping must be accompanied by a revised Biodiversity Metric that will be submitted to the Local Planning Authority for approval in writing. Changes should not result in a lowering of the net gain outcomes. The proposed habitats shall be created and then retained on site through good management for a minimum of 30 years.,In line with Local Plan Policy 30 to ensure a minimum of 10% net gain is achieved as a result of the development.,	local-authority:DNC,Unique Condition,,,
U0117188,Bats,"No development shall take place (including any demolition, ground works, site clearance) until a method statement produced by a suitably qualified ecologist and covering the demolition of buildings has been submitted to and approved in writing by the local planning authority. The works shall be carried out strictly in accordance with the approved details.",To ensure the ecological interests of the site are maintained in accordance with Local Plan policy 30 and that no offence is committed in respect of protected species legislation,	local-authority:DNC,Unique Condition,,,
U0117189,Ecological Enhancement Plan,"Within one month of the commencement of development, an ecological enhancement plan shall be submitted to the local planning authority for approval in writing. This plan shall include details of the following measures, all of which shall be implemented prior to the first occupation of the site or an alternative timescale to be approved in writing with the local planning authority:  
-	Siting of 4 integrated bat boxes that shall be incorporated into the fabric of the new building in suitable locations for bats.",In line with Local Plan Policy 30 to ensure the ecological interests of the site are maintained.,	local-authority:DNC,Unique Condition,,,
U0117190,External Plant,"The requirements of section 6.1.4 table 9 of Doncaster Gateway - Baseline Noise Survey & Noise Impact Assessment, 30th July 2023, PC-22-0064-RP1-Rev A shall be met by all future occupiers of the development, in respect of external plant and equipment, and that an acoustic report shall be prepared for approval by the local planning authority prior to first use, for all site occupiers that utilise any external fixed plant or equipment.",In the interests of the amenities of the locality and occupiers of adjoining property.,	local-authority:DNC,Unique Condition,,,
U0117191,Waste Management,"Prior to first occupation of the development, the developer shall submit for approval to the local planning authority, a scheme for the management and storage of waste at the property, including bin store, maintenance of the area and placing of bins for collection and their return. All such requirements of the approved scheme shall be implemented prior to first occupation and subsequently complied with.",To ensure the development has adequate waste management and to protect the amenity of the neighbouring occupiers.,	local-authority:DNC,Unique Condition,,,
U0117192,CMS - E Health,"No development shall take place, including any works of demolition, until a Construction Method Statement has been submitted to and approved in writing by the local planning authority. The approved statement shall be adhered to throughout the construction period. The statement shall provide for:
i) measures to control noise, with regard to BS5228 and other appropriate standards 
ii) measures to control the emission of dust and dirt 
iii) all other appropriate measures to prevent loss of amenity to the locality.",To protect the amenity of neighbouring occupiers.,	local-authority:DNC,Unique Condition,,,
U0117193,SYAS - Archaeology,"Part A (pre-commencement)

No development, including any demolition and groundworks, shall take place until the applicant, or their agent or successor in title, has submitted a Written Scheme of Investigation (WSI) that sets out a strategy for archaeological investigation and this has been approved in writing by the Local Planning Authority. The WSI shall include:

o	The programme and method of site investigation and recording.
o	The requirement to seek preservation in situ of identified features of importance.
o	The programme for post-investigation assessment.
o	The provision to be made for analysis and reporting.
o	The provision to be made for publication and dissemination of the results.
o	The provision to be made for deposition of the archive created.
o	Nomination of a competent person/persons or organisation to undertake the works.
o	The timetable for completion of all site investigation and post-investigation works.

Part B (pre-occupation/use)
Thereafter the development shall only take place in accordance with the approved WSI and the development shall not be brought into use until the Local Planning Authority has confirmed in writing that the requirements of the WSI have been fulfilled or alternative timescales agreed.","To ensure that any archaeological remains present, whether buried or part of a standing building, are investigated and a proper understanding of their nature, date, extent and significance gained, before those remains are damaged or destroyed and that knowledge gained is then disseminated.",	local-authority:DNC,Unique Condition,,,
U0117194,Travel Plan Monitoring,"The development shall be carried out in accordance with the submitted Travel Plan and the mitigation it details.  An Annual Travel Plan Monitoring Report shall be submitted to and approved in writing by the local planning authority no later than 3 months post the first anniversary of the building being brought into use, and this shall continue on an annual basis for the duration of the use unless another duration is agreed with the Local Planning Authority. Each annual monitoring report shall include collated parking information to ascertain the level of off-site parking occurring, revised targets, revised measures alongside revised marketing, monitoring and enforcement mechanisms.",To promote non-car methods of use for the development to reduce parking demand in the area as required by Policy 13 of the Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117195,CTMP,"No development shall commence on site until a Construction Traffic Management Plan (CTMP) is submitted to and approved in writing by the Local Highway Authority. The approved plan shall be adhered to throughout the construction phase. As a minimum, the CTMP shall contain information relating to (but not limited to):

i.	The site compound and parking of vehicles for site operatives and visitors.
ii.	The erection and maintenance of security hoarding around the development including decorative displays and facilities for public viewing including traffic management measures in order to erect the hoarding and all approved licences in order to erect hoarding.
iii.	A scheme for recycling/disposing of waste resulting from demolition and construction works.
iv.	Storage of plant and materials used in demolition/construction of the development.
v.        Measures to control noise and the emission of dust and dirt during demolition/construction.
vi.       Wheel washing facilities designated on hard standing areas within the site.
vii.       Volumes and types of construction vehicles.
viii.       Identification of delivery routes and timing of deliveries;
ix.	Identification of agreed access point and all Temporary signage on the adopted highway
x.	Contractors method for controlling construction traffic and adherence to routes
xi.       Loading and unloading of plant and materials including any temporary traffic management measures needed i.e. Road/Lane closures, footpath closures etc
xii.	Size, route and numbers of abnormal loads
xiii.	Swept path analysis (as required)
xiv.	Construction Period",To safeguard the living conditions of neighbouring residents and in the interests of highway safety in accordance with Local Plan Policy 13,	local-authority:DNC,Unique Condition,,,
U0117196,HIGH4 Cycle storage,"Prior to any above ground works details of secure cycle parking facilities for the occupants of, and/or visitors to the development have been submitted to and approved in writing by the local planning authority. These facilities shall be fully implemented and made available for use prior to the occupation of the development hereby permitted and shall thereafter be retained for use at all times.",To ensure that satisfactory facilities for the parking of cycles are provided and to encourage travel by means other than private motor vehicles and to comply with policy 13 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0117197,SUDS,"No building hereby permitted shall be occupied until the sustainable drainage scheme for the site has been completed in accordance with the submitted details. The sustainable drainage scheme shall be designed, managed and maintained in accordance with the Non-statutory technical standards and local standards.",To comply with current planning legislation - National Planning Policy Framework.,	local-authority:DNC,Unique Condition,,,
U0117198,SUDs,"The development shall not be begun until details of the sustainable drainage scheme for the site has been provided in accordance with the submitted details. The sustainable drainage scheme shall be designed, managed and maintained in accordance with the Non-statutory technical standards and local standards.",To comply with current planning legislation - National Planning Policy Framework.,	local-authority:DNC,Unique Condition,,,
U0117199,Amended/approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the amended/approved plans listed below:

Amended plans:
Title: Site Plan (Amended Proposed Site Plan).
Drawing No: 23-080-2.
Revision: B.
Date: Nov 23.
Received by City of Doncaster Council on the 22.12.2023.

Proposed plans:
Title: Proposed Plans.
Drawing No: 23-080-4.
Date: Nov 23.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0117226,Materials,"Before the development commences, product details of the proposed external materials shall be submitted to and approved in writing by the Local Planning Authority. This may include submission of samples if requested by the Local Planning Authority. Unless otherwise agreed in writing with the Local Planning Authority, the development shall be carried out in accordance with the approved materials.",To ensure the satisfactory appearance of the development.,	local-authority:DNC,Unique Condition,,,
U0117227,Landscaping 1,"No development shall take place on the site until a detailed hard and soft landscape scheme (based upon the approved plan ref 7700-SMR-00-ZZ-DR-A-2200-S3-P4)  has been submitted to and approved in writing by the Local Planning Authority. The hard landscape scheme shall include details of all external hard surfacing materials, including adoptable highway finishes and footpaths through POS. The soft landscape scheme shall include a soft landscape plan; a schedule providing plant and tree numbers and details of the species, which shall comply with the Council's Transitional Developer Requirements Document, nursery stock specification in accordance with British Standard 3936: 1992 Nursery Stock Part One and planting distances of trees and shrubs; a specification of planting and staking/guying; a timescale of implementation; a detailed specification for tree pit construction for the trees within highway that utilises a professionally recognised method of construction to provide the minimum rooting volume set out in the Council's guidance and a load-bearing capacity equivalent to BS EN 124 2015 Class C250 for any paved surface above; a specification for planting including details of tree support, tree pit surfacing, aeration and irrigation and details of management and maintenance for a minimum of 5 years following practical completion of the landscape works. Thereafter the landscape scheme shall be implemented in full accordance with the approved details and the Local Planning Authority shall be notified in writing within 7 working days to approve practical completion of any planting within public areas or adoptable highway within the site. Soft landscaping for any individual housing plot must be implemented in full accordance with the approved scheme, prior to occupation of the home, which will be monitored by the Local Planning Authority. Any part of the scheme which fails to achieve independence in the landscape, or is damaged or removed within five years of planting shall be replaced during the next available planting season in full accordance with the approved scheme, unless the local planning authority gives its written approval to any variation.",In the interests of environmental quality and Local Plan policy 48.,	local-authority:DNC,Unique Condition,,,
U0117228,Landscaping 2,"Following the commencement of the development and before 30th September of every year during the implementation period (either phased or in full) and 5 year aftercare period, a 'Landscaping Implementation Report' shall be prepared by a suitably qualified landscape architect and / or contractor, and submitted by the developer to the Local Planning Authority in order to demonstrate that the landscaping has been carried out in full accordance with the approved landscaping details. The report should record the landscaping operations carried out on the land since the date of commencement, or previous report / aftercare meeting, and set out the intended operations for the next 12 months. It shall cover the following matters in particular, but not limited to, species, size, location, planting and aftercare specification, and be illustrated with evidence such as an overall progress summary, inspection site visit notes, a schedule of maintenance operations undertaken, before and after photos of any remedial plantings or completed works. If required, the developer shall arrange to attend a site meeting with the Local Planning Authority to inspect the planting and ongoing maintenance requirements.",To ensure site landscaping works are undertaken as approved in accordance with Policy 48.,	local-authority:DNC,Unique Condition,,,
