reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
24/00432/FUL,Erection of first floor level extensions to the front and side & erection of a front Porch extension to a detached dwelling house.,2024-04-25,local-authority:DNC,,,,
24/00433/FUL,Erection of two single storey infill extensions to the rear of the existing dwelling,2024-05-02,local-authority:DNC,,,,
24/00436/FUL,Erection of a single storey rear extension following the demolition of existing conservatory,2024-04-30,local-authority:DNC,,,,
24/00437/FUL,AMENDED PLANS: Erection of a single / 2 storey rear extension.,2024-05-14,local-authority:DNC,,,,
24/00438/FUL,"Application to vary condition 2 of application 19/00215/FUL (granted 23/08/2019) - Division of site into two, conversion of barn into a single residential property, new two storey extension to front of barn following demolition of existing lean to extension; in order to amend approved plans relating to amount of permitted demolition and rebuilding.",2024-06-11,local-authority:DNC,,,,
24/00439/3FUL,Replacement of existing glazed aluminium dome structure with new glazed aluminium dome structure.,2024-04-22,local-authority:DNC,,,,
24/00440/LB13,Listed Building consent for replacement of existing glazed aluminium dome structure with new glazed aluminium dome structure.,2024-04-22,local-authority:DNC,,,,
24/00442/FUL,Erection of two storey side extension and single storey rear extension.,2024-05-02,local-authority:DNC,,,,
24/00443/FUL,Erection of perimeter fence and installation of hard standing floor to create an open air storage yard.,2024-11-26,local-authority:DNC,,,,
24/00445/FUL,"Change of use from Sui Generis, existing betting shop/arcade to 3 apartments (C3 use) including 2nd floor extension with balcony and external alterations",2024-04-24,local-authority:DNC,,,,
24/00447/FUL,Erection of a 2 storey side extension following the demolition of existing garage & outbuildings.,2024-05-21,local-authority:DNC,,,,
24/00448/FUL,Erection of a single storey extension to side of dwelling.,2024-04-17,local-authority:DNC,,,,
24/00449/FUL,"Erection of a two storey side extension, following demolition of existing side conservatory",2024-05-30,local-authority:DNC,,,,
24/00451/TPO,"Application to crown reduce a Lime tree, identified as T15, within and protected by Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley",2024-05-08,local-authority:DNC,,,,
24/00452/COU,Change of use of dwelling house (Use Class C3) to children's care home (Use Class C2)( Retrospective),2024-07-09,local-authority:DNC,,,,
24/00457/PRIOR,Notification to determine if prior approval is required for the change of use of the first and second floors within the building from offices (Class E) to 22 apartments (Class C3),2024-05-02,local-authority:DNC,,,,
24/00461/3FUL,"Erection of a single storey side extension, forming a Bedroom and a Shower Room.",2024-04-15,local-authority:DNC,,,,
24/00465/COU,Change the use of the existing ground floor shop (Class E) to mixed use (Sui Generis - Cosmetic and Medical Micropigmentation clinic),2024-05-13,local-authority:DNC,,,,
24/00466/FUL,"AMENDED PLANS: Erection of a 2 storey front extension, a single storey rear extension & alterations to existing dwelling.",2024-07-23,local-authority:DNC,,,,
24/00471/FUL,Erection of single storey rear and side extension following demolition of existing rear extension ****Amended Plans ****,2024-05-02,local-authority:DNC,,,,
24/00474/COU,Change of use of 5 guest rooms(Class C1) to Sun Bed Salon,2024-08-29,local-authority:DNC,,,,
24/00475/FUL,Change of use for a child minding business from home (Retrospective),2024-05-30,local-authority:DNC,,,,
24/00476/FUL,Erection of extension to rear and conversion of garage,2024-05-09,local-authority:DNC,,,,
24/00480/FULM,"Change of use of former bar/nightclub to 12 no. self-contained flats (C3) with Class E use to part ground floor, with associated external alterations including new windows, rooflights and doors and removal of rear external raised platform",2024-10-01,local-authority:DNC,,,,
24/00481/FUL,"Erection of a front porch and a rear two storey extension, installation of photovoltaics, and external alterations to the existing property",2024-05-20,local-authority:DNC,,,,
24/00484/FUL,Erection of a new single storey extension to rear following demolition of conservatory and replacement windows and doors to dwelling,2024-05-21,local-authority:DNC,,,,
24/00487/FUL,Conversion of Hill House Barn to annexe and replacement carport with storage area (being variation of condition 2 of planning application 22/01749/FUL; Approved plans).,2024-05-07,local-authority:DNC,,,,
24/00488/FUL,"Erection of a ground floor side extension with a hipped roof to create living accommodation, following the demolition of the existing attached Garage (Retrospectively).",2024-05-23,local-authority:DNC,,,,
24/00489/FUL,Demolition of existing front porch and bay window and erection of replacement front extension,2024-04-30,local-authority:DNC,,,,
24/00495/FUL,"Erection of single rear extension + modification to existing out-building, raising roof height and walls, removal of internal walls and chimney breast only to form open plan kitchen/dining/sun lounge",2024-05-08,local-authority:DNC,,,,
24/00507/FUL,Erection of dwelling,2024-11-14,local-authority:DNC,,,,
24/00508/FUL,"Erection of 2 storey extension to the front and rear including new roof and dormer windows, and ground floor extension to the front of the garage and erection of wall to connect the property and garage creating an annex",2024-06-17,local-authority:DNC,,,,
24/00509/COUM,Change of use to plumbers merchants (Sui Generis) and the installation of new customer entrance,2024-04-24,local-authority:DNC,,,,
24/00510/FUL,"Erection of a 2 storey side extension (which also projects forwards and rearwards of the existing dwelling house), following the demolition of the existing single storey side extension (Resubmission of 23/02517/FUL).",2024-04-26,local-authority:DNC,,,,
24/00511/LBC,Listed Building Consent for installation of internal shutter,2024-05-17,local-authority:DNC,,,,
24/00512/FUL,"Proposed external alterations including a hip to gable roof conversion, proposed rooflights on the front and rear roof elevation, the erection of a flat roof dormer with windows on the rear elevation, window alterations to the side elevation and the replacement of all windows and doors with uPVC
",2024-05-16,local-authority:DNC,,,,
24/00516/FUL,Installation of tiled pitched roof on top of single existing detached garage (Retrospective),2024-04-30,local-authority:DNC,,,,
24/00518/COU,Change of use from residential property (Class C3) to supported living accommodation (Class C2),2024-07-25,local-authority:DNC,,,,
24/00519/FUL,Erection of a single storey extension to rear following demolition of existing conservatory,2024-05-24,local-authority:DNC,,,,
24/00520/FUL,Erection of a 3 bedroom dwelling over 2 1/2 storey's following the demolition of existing coach house and outbuildings (Being resubmission of application refused under Ref: 23/01113/FUL on 27.07.2023),2024-06-24,local-authority:DNC,,,,
24/00521/LBC,Listed Building Consent for roof works,2024-04-09,local-authority:DNC,,,,
24/00524/COU,Change of use of ground floor from warehouse (Class B8) to indoor sports courts (Class E(d)),2024-06-12,local-authority:DNC,,,,
24/00525/FUL,Installation of replacement windows.,2024-06-18,local-authority:DNC,,,,
24/00526/FUL,"Amended - Erection of a flat roof ground floor side extension, following the demolition of the existing Store outbuilding.",2024-05-08,local-authority:DNC,,,,
24/00529/FUL,Erection of single storey rear extension.,2024-05-09,local-authority:DNC,,,,
24/00531/PRIOR,Notification to determine if prior approval is required for change of use from commercial use to 26 residential units (Use Class C3),2024-06-27,local-authority:DNC,,,,
24/00533/FUL,Erection of a detached garage.,2024-05-21,local-authority:DNC,,,,
24/00534/FUL,Erection of a single storey rear extension following demolition of existing side extension & erection of detached outbuilding to rear,2024-05-14,local-authority:DNC,,,,
24/00538/FUL,AMENDED PLANS: Erection of a two storey side/rear and and single storey side extension with alterations to front boundary wall,2024-05-30,local-authority:DNC,,,,
24/00540/FUL,Erection of a single storey side extension following demolition of existing extension.,2024-05-07,local-authority:DNC,,,,
24/00541/FUL,Erection of a single storey rear extension & new front porch extension.,2024-05-09,local-authority:DNC,,,,
24/00547/FUL,Erection of a stock shed,2024-05-13,local-authority:DNC,,,,
24/00548/FUL,Change of use of building to four flats (part retrospective).,2024-05-10,local-authority:DNC,,,,
24/00549/FUL,Conversion of existing car wash building to form new food-to-go facility (Class E) with associated external alterations,2024-05-28,local-authority:DNC,,,,
24/00551/ADV,Display of signs. 2no at roadside entrance to cricket club.,2024-05-21,local-authority:DNC,,,,
24/00554/FUL,"Demolition of the existing Mercedes Benz showroom, to be replaced by a new showroom in the style of the current corporate identity & extension of the first floor into the new showroom extension.",2024-07-17,local-authority:DNC,,,,
24/00556/FUL,Installation of four rapid electric vehicle charging stations and ancillary equipment within the car park.,2024-05-23,local-authority:DNC,,,,
24/00558/FUL,"Erection of an industrial unit to rear of existing unit with link canopy to provide covered yard area, extended service yard and fencing",2024-11-01,local-authority:DNC,,,,
24/00559/LBC,"Listed building consent for remedial works to prevent futher deterioration of the building.
",2024-10-24,local-authority:DNC,,,,
24/00560/FUL,Removal of the front of the showroom (triangular in plan) to square off the building and increase the area of the used car display area in front of the showroom,2024-05-07,local-authority:DNC,,,,
24/00561/FUL,Siting of a container for storage in the front garden (RETROSPECTIVE) with proposed timber cladding.,2024-08-08,local-authority:DNC,,,,
24/00563/FUL,Erection of a single storey rear extension and a two storey side extension.,2024-05-09,local-authority:DNC,,,,
24/00565/FUL,"Erection of first floor extension, first floor rear extension, Replacement of pitched single storey roof, removal of stepped gable to existing double storey, single storey rear extension, upgrading windows and change in fenestration (without compliance with condition 2 of planning application 22/00436/FUL granted on 01.06.2022 (Approved Plans))",2024-05-23,local-authority:DNC,,,,
24/00566/LBC,"Listed building consent for the erection of first floor extension, first floor rear extension, Replacement of pitched single storey roof, removal of stepped gable to existing double storey, single storey rear extension, upgrading windows and change in fenestration.",2024-05-23,local-authority:DNC,,,,
24/00569/FUL,Erection of a games room 1.5m away from side boundary to minimise tree root damage following the demolition of existing summer house (being a resubmission of 24/00121/FUL),2024-07-05,local-authority:DNC,,,,
24/00575/REMM,"Details of appearance, landscaping, layout and scale of design for the erection of distribution centre within Class B8 (storage and distribution), with ancillary offices / facilities including installation of photovoltaic's, as well as vehicle maintenance, fuelling and wash units, gatehouse, car parking and servicing arrangements, cycle parking, landscaping, substations, sprinkler tanks, fencing and associated works. (Being matters reserved in outline application previously granted permission under ref 15/01300/OUTA on 21/04/2017.)",2024-11-26,local-authority:DNC,,,,
24/00576/ADV,Display of double sided LCD digital 6 sheet advertising panel with a height of 2.215m a width of 1.3m and a depth of 0.4m,2024-05-23,local-authority:DNC,,,,
24/00577/ADV,Display of double sided LCD digital 6 sheet advertising panel with a height of 2.215m a width of 1.3m and a depth of 0.4m.,2024-05-21,local-authority:DNC,,,,
24/00578/ADV,Display of double sided  digital 6 sheet advertising panel with static illumination with a height of 2.215m a width of 1.3m and a depth of 0.4m,2024-05-21,local-authority:DNC,,,,
24/00579/ADV,"Display of an internally illuminated double sided digital 6 sheets advertising panel, with a height of 2.215m, a width of 1.3m and a depth of 0.4m.",2024-05-20,local-authority:DNC,,,,
24/00580/ADV,Display of double sided  digital 6 sheet advertising panel with static illumination with a height of 2.215m a width of 1.4m and a depth of 0.4m,2024-05-23,local-authority:DNC,,,,
24/00581/ADV,Display of double sided digital 6 sheet advertising panel with static illumination with a height of 2.215m a width of 1.4m and a depth of 0.4m,2024-05-20,local-authority:DNC,,,,
24/00582/ADV,"Display of an internally illuminated double sided digital 6 sheets advertising panel, with a height of 2.215m, a width of 1.3m and a depth of 0.4m.",2024-05-20,local-authority:DNC,,,,
24/00583/ADV,Display of double sided digital 6 sheet advertising panel with static illumination with a height of 2.215m a width of 1.3m and a depth of 0.4m.,2024-05-21,local-authority:DNC,,,,
24/00585/ADV,Display of double sided  digital 6 sheet advertising panel with static illumination with a height of 2.215m a width of 1.4m and a depth of 0.4m,2024-05-23,local-authority:DNC,,,,
24/00586/ADV,"Display of an internally illuminated double sided LCD digital 6 sheets advertising panel, with a height of 2.215m, a width of 1.3m and a depth of 0.4m.",2024-05-20,local-authority:DNC,,,,
24/00587/ADV,Display of double sided LCD digital 6 sheet advertising panel with a height of 2.215m a width of 1.3m and a depth of 0.4m,2024-05-20,local-authority:DNC,,,,
24/00596/FUL,Erection of single storey rear extension to improve disabled persons facilities,2024-05-21,local-authority:DNC,,,,
24/00599/FUL,"Demolition of existing building and erection of a building divided into three units intended for occupancy under Use Classes E, B2, or B8, and installation of a storage container for a temporary period of ten years",2024-07-18,local-authority:DNC,,,,
24/00600/FUL,Erection of storage building (retrospective).,2024-05-21,local-authority:DNC,,,,
24/00603/FUL,Erection of detached garage following the demolition of existing garage in the same position,2024-05-14,local-authority:DNC,,,,
24/00608/FUL,"Erection of single storey flat roof extension to the rear, following the demolition of the existing conservatory.",2024-06-21,local-authority:DNC,,,,
24/00613/ADV,Display of an internally illuminated fascia sign to front elevation (Retrospective).,2024-05-21,local-authority:DNC,,,,
24/00614/FUL,Installation of new vehicular access to classified road (C111),2024-10-24,local-authority:DNC,,,,
24/00615/FUL,Installation of an Air Source Heat Pump (ASHP) to the rear of the property.,2024-05-21,local-authority:DNC,,,,
24/00618/FUL,Removal of timber cladding from shop front of retail unit,2024-05-14,local-authority:DNC,,,,
24/00619/COU,Change of use of building from Class B2 to Class E(d) for use as a personal training studio and strength based lifting gym,2024-06-05,local-authority:DNC,,,,
24/00623/OUT,"Outline application for the erection of two dwellings with associated amenity space and parking (approval sought for the access, landscaping, layout and scale)",2024-06-17,local-authority:DNC,,,,
24/00629/FUL,Erection of a front two storey extension and a rear single storey extension with terrace to dwelling.,2024-05-31,local-authority:DNC,,,,
24/00631/FUL,Erection of a single storey extension to side/rear following demolition of existing car port and side/rear extension,2024-05-21,local-authority:DNC,,,,
24/00636/FUL,Erection of a new dwelling,2024-07-22,local-authority:DNC,,,,
24/00639/FUL,Installation of an air source heat pump to the rear.,2024-05-10,local-authority:DNC,,,,
24/00644/FUL,Erection of detached outbuilding for hairdressing business,2024-08-23,local-authority:DNC,,,,
24/00649/FUL,The erection of pitched roof to outbuilding to replace flat roof and retrospective change of use from office to living accommodation,2024-05-23,local-authority:DNC,,,,
24/00650/FUL,"Erection of a flat roof single storey rear Kitchen extension, following demolition of the existing rear Conservatory.",2024-05-17,local-authority:DNC,,,,
24/00651/FUL,Installation of external extraction chimney to existing Class E unit (Retrospective),2024-07-18,local-authority:DNC,,,,
24/00653/FUL,Use of unit 3 as a cafe (Class E) and installation of external extraction chimney,2024-07-05,local-authority:DNC,,,,
24/00655/FUL,Erection of single storey extension to the side (amended plans).,2024-05-28,local-authority:DNC,,,,
24/00656/REM,Details of layout for the erection of a substation (Being matters reserved in outline application previously granted permission under ref 15/01278/OUTM on 05/02/2019),2024-06-07,local-authority:DNC,,,,
24/00657/ADV,"Display of internally illuminated 2no McDonalds lettering signage, McDonalds 'Golden Arch' logo, 3no banner frame signs, a totem sign, 2no 'Collect' signs, a 'Pay' sign, a single digital screen externally mounted in cash booth. Drive Thru signage - 3no double digital menu boards, single digital menu board, customer order display unit. Dot Signs -  1 No Entry sign, 1 Pedestrian Crossing/Give Way sign,  2no Parked Order Bay & 1 Accessible Parking Bay",2024-11-20,local-authority:DNC,,,,
24/00658/FULM,Change of use of existing solicitor's office (Class E) into 20 no. self-contained apartments (Class C3) with the retention of retail space on the ground floor to facilitate 4 no. retail units,2024-12-19,local-authority:DNC,,,,
24/00661/FUL,Erection of a single storey rear extension following the demolition & removal of existing conservatory,2024-05-21,local-authority:DNC,,,,
24/00662/FUL,"Erection of ground floor extension to the front, and garage to the side with first floor bedroom above, and the installation of new dropped curb",2024-06-24,local-authority:DNC,,,,
24/00663/FUL,Erection of first floor extension to front of dwelling and construction of detached garden room in place of previously approved car port.,2024-05-21,local-authority:DNC,,,,
24/00665/FUL,Installation of a balcony to rear of house for first floor bedroom.,2024-05-28,local-authority:DNC,,,,
24/00666/LBC,Listed building consent to replace windows and doors on the rear of the property and to render brickwork to the rear,2024-10-31,local-authority:DNC,,,,
24/00669/FUL,Erection of a two storey side and rear extension over existing single storey.,2024-06-06,local-authority:DNC,,,,
24/00680/FUL,"Alterations to elevations, to include a new entrance lobby, updated 'Drive Thru' booths, new glazing & access door, new double kerb line within drive thru & associated works",2024-06-05,local-authority:DNC,,,,
24/00682/ADV,Display of 2 x car park directional signs & 1 x post mounted double sided corex (non-illuminated) sign.,2024-05-17,local-authority:DNC,,,,
24/00683/TPO,To fell one large Sycamore Tree and replant with a suitably sized tree,2024-07-15,local-authority:DNC,,,,
24/00684/FUL,"Erection of a single storey rear extension to accommodate bedroom, wet room & family space.",2024-05-22,local-authority:DNC,,,,
24/00685/FUL,Installation of an Air Source Heat Pump (Retrospective) (being resubmission of 23/02368/FUL),2024-06-19,local-authority:DNC,,,,
24/00690/FUL,Erection of part two part single storey rear extension and balcony following demolition of existing conservatory as well as external window and door alterations,2024-05-24,local-authority:DNC,,,,
24/00692/FUL,"Erection of a drive-thru restaurant (Use Class E/sui generis) with associated access, servicing, car parking, hard and soft landscaping and other associated works.",2024-11-01,local-authority:DNC,,,,
24/00693/FUL,Erection of a two storey side extension to the south west elevation of property replacing a single storey extension in the same location,2024-05-23,local-authority:DNC,,,,
24/00694/FUL,Erection of single storey pitched roof porch to front and single storey extension to rear,2024-06-24,local-authority:DNC,,,,
24/00697/3FUL,Erection of single storey extension to the rear,2024-06-17,local-authority:DNC,,,,
24/00703/FUL,Conversion of 115 Askern Road to two flats and change of use of rear ground floor of 117 Askern Road from E(a) retail to C3 residential use including garage conversion and rear single storey extension to form shower room.,2024-06-12,local-authority:DNC,,,,
24/00704/FUL,"Proposed extensions and alterations including raising the roof height in connection with formation of rooms in roofspace, front garage extension.",2024-07-15,local-authority:DNC,,,,
24/00705/FUL,Erection of a front Porch.,2024-05-23,local-authority:DNC,,,,
24/00717/FUL,Erection of a single storey rear infill extension.,2024-06-13,local-authority:DNC,,,,
24/00719/FUL,Erection of a single storey side and rear extension following demolition of existing garage,2024-06-07,local-authority:DNC,,,,
24/00720/FUL,Erection of ground floor front extension,2024-08-05,local-authority:DNC,,,,
24/00721/FUL,"Erection of a ground floor side extension and a first floor side extension, above the existing garage/proposed ground floor side extension to create living accommodation.",2024-05-23,local-authority:DNC,,,,
24/00723/FUL,Erection of single storey extension to the side/front,2024-06-13,local-authority:DNC,,,,
24/00728/FUL,Erection of a covered storage area roof over an existing hard standing area,2024-06-17,local-authority:DNC,,,,
24/00734/FUL,Erection of a porch to front elevation & garage to the side & extension to drop kerb to cover full drive.,2024-06-18,local-authority:DNC,,,,
24/00738/FUL,Erection of a detached double garage.,2024-07-15,local-authority:DNC,,,,
24/00741/FUL,"Erection of a detached garage/store, a new hardstanding to front, & relocate/amend dropped kerb",2024-06-18,local-authority:DNC,,,,
24/00742/FUL,"Demolition of conservatory within a conservation area and erection of single storey extension on the same footprint, with internal alterations to the home",2024-06-18,local-authority:DNC,,,,
24/00749/FUL,Erection of a single storey pitched roof extension to the side & erection of a porch to the front of the dwelling house.,2024-05-30,local-authority:DNC,,,,
24/00750/FUL,"Erection of a single storey and two-storey extension to the front; single storey extension to the rear and a two storey side extension (being resubmission of application 23/00175/FUL, granted on 16.10.2023; amending proposed materials).",2024-05-28,local-authority:DNC,,,,
24/00752/FUL,"Erection of a detached Garage with Home Office/Gym above, following the demolition of the existing detached Garage/Store within a conservation area.",2024-06-21,local-authority:DNC,,,,
24/00756/FUL,"AMENDED PLANS: Erection of a part single-storey part two-storey extension over existing rear extensions, hip to gable roof conversion, velux windows to front elevation and replacement of existing rear conservatory roof.",2024-08-02,local-authority:DNC,,,,
24/00760/FUL,"Erection of two storey rear extension, raising of the roof and loft conversion",2024-06-05,local-authority:DNC,,,,
24/00764/TPO,To undertake retrenchment pruning work and the slight reduction to the crown  in line with the Barnes resort recommendation.  This is to be repeated every 18 months,2024-06-27,local-authority:DNC,,,,
24/00765/FUL,Erection of a single storey dwelling with associated works.,2024-07-25,local-authority:DNC,,,,
24/00766/FUL,Erection of single storey extension to existing industrial unit and provision of new pitched roof to entire building,2024-06-24,local-authority:DNC,,,,
24/00768/FUL,Erection of a detached garage 8m by 4m standard brick construction with tiled apex roof,2024-06-21,local-authority:DNC,,,,
24/00769/FUL,Without planning permission the change of use from a beauty salon to a residential dwelling (amended),2024-10-24,local-authority:DNC,,,,
24/00771/FUL,"Erection of a drive thru coffee shop (Class E / Sui Generis Use), EV charging infrastructure, landscaping, and associated development",2024-12-10,local-authority:DNC,,,,
24/00776/FUL,"Erection of a front wall with pillars to accommodate metal railings, a pedestrian gate and driveway gate (Retrospective)",2024-07-24,local-authority:DNC,,,,
24/00779/FUL,Erection of a single storey rear/side extension.,2024-07-05,local-authority:DNC,,,,
24/00782/3FUL,Removal of existing ground floor kitchen extension and replacing with new kitchen/bedroom ground floor extension (being a resubmission of 23/00968/3FUL).,2024-06-12,local-authority:DNC,,,,
24/00783/FUL,"Erection of a 2 storey rear extension, a semi detached garage to rear, front porch & new roof to existing front bay",2024-06-24,local-authority:DNC,,,,
24/00784/FUL,"Erection of a 2 storey rear extension, a semi detached garage to rear, front porch & new roof to existing front bay",2024-06-24,local-authority:DNC,,,,
24/00787/FUL,Erection of extension to front and rear and new raised roof (being resubmission of application 23/01089/FUL) (without compliance with condition 2 (Approved Plans) of planning application 23/02473/FUL granted on 23/01/2024 - Requesting the addition of skylights to allow natural light and ventilation to the first floor. Also requesting the change in position of flue.,2024-06-05,local-authority:DNC,,,,
24/00791/FUL,Erection of a single storey extension with sky lantern & rendered finish & external render to existing house following demolition of existing conservatory,2024-07-01,local-authority:DNC,,,,
24/00795/FUL,Erection of a flat roof replacement single storey 6m rear projection rear extension to a semi-detached dwelling house. To replace the existing rear Conservatory.,2024-06-13,local-authority:DNC,,,,
24/00804/TPO,"Application to undertake pruning on an Oak identified on application as T2 Oak, being T303 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantle",2024-06-14,local-authority:DNC,,,,
24/00806/FUL,Erection of fencing above existing wall (Retrospective),2024-07-01,local-authority:DNC,,,,
24/00809/FUL,"Erection of double storey rear and infill side extension, single storey rear extension, roof alterations and addition of roof lights x 1 to the front and x 2 to the rear and erection of two storey front extension to a detached dwelling house (Without compliance of conditions 2,  3, 4, 5, 6 and 7 of planning application  21/01473/FUL, granted on  01/04/2022 - amended plans and materials).",2024-06-19,local-authority:DNC,,,,
24/00811/LBCM,Listed Building Consent for internal works in association with the change of use from Use Class E (Commercial) to 20 no. residential units Use Class C3 (Residential),2024-12-19,local-authority:DNC,,,,
24/00812/FUL,"Erection of single storey rear extension, front porch and conversion of car port to habitable room, following demolition of the existing conservatory.",2024-06-28,local-authority:DNC,,,,
24/00813/FUL,Erection of a single storey extension to rear following demolition of existing conservatory,2024-07-19,local-authority:DNC,,,,
24/00814/TPO,"Application to undertake a crown lift of 5 metres above ground level, on a Sycamore identified as T2 of Doncaster Borough Council Tree Preservation Order (No.231) 1998 Handley Cross, Cantley Lane, Cantley.",2024-06-10,local-authority:DNC,,,,
24/00816/FUL,Erection of one x 2-unit light industrial building (Use Class E(g)) and associated external works including new parking and landscaping (AMENDED PROPOSAL),2024-09-02,local-authority:DNC,,,,
24/00821/FUL,Erection of a two storey extension to the rear and the installation of a new first floor level window to the side elevation.,2024-07-03,local-authority:DNC,,,,
24/00822/TPO,"Application to fell a Sycamore, identified as being within G2 of the Doncaster Borough Council Tree Preservation Order (No.83) 1991 The Vicarage, Armthorpe.",2024-06-14,local-authority:DNC,,,,
24/00823/FUL,Installation of 3 pitched roof dormer windows to side elevation in connection with formation of rooms in roof space.,2024-06-19,local-authority:DNC,,,,
24/00826/FUL,Substitution of house type of application granted under ref 23/01825/REM on 20/12/2023,2024-06-27,local-authority:DNC,,,,
24/00828/FUL,"Erection of first floor extension above existing garage, chimney, 2 pitched bay windows, two storey pitched roof porch extensions to front, single story extension with roof light to rear and increase in roof height overall in connection with formation of rooms in roofspace including installation of 3 pitched roof dormer windows to rear.",2024-08-08,local-authority:DNC,,,,
24/00832/FUL,"Installation of replacement windows, and alterations to existing front boundary wall including installation of new railings above existing wall and raising of pillar height.",2024-07-29,local-authority:DNC,,,,
24/00835/FUL,Erection of a single story extension to the rear,2024-07-05,local-authority:DNC,,,,
24/00837/TPO,"Application to undertake pruning on 7 Oak and 1 Silver Birch trees, all identified as being within G3 of  Doncaster Borough Council Tree Preservation Order (No.205) 1997 Grange Road, Bessacarr


",2024-06-24,local-authority:DNC,,,,
24/00838/ADV,"Display of of 4no. aluminium panel information and car park signs with a maximum height of 1.98m,1no. 'Medium Power' sign;, 1no. 'Low Power' sign;, 1no. Accessible Parking sign; and 1no. 'Right' directional sign",2024-07-01,local-authority:DNC,,,,
24/00839/FUL,Erection of a single storey extension to rear.,2024-07-22,local-authority:DNC,,,,
24/00841/FUL,Proposed Battery Energy Storage Facility and associated works (amended),2024-10-29,local-authority:DNC,,,,
24/00844/FUL,"External alterations to Units 12, 13 and 14a, including works to elevations, reconfiguration of existing mezzanine, external plant area to the rear, installation of trolley bays and associated works",2024-07-30,local-authority:DNC,,,,
24/00845/PRIOR,Notification to determine if prior approval is required for change of use from Class E to Class C3 for one dwelling,2024-07-01,local-authority:DNC,,,,
24/00846/FUL,Erection of two-storey detached dwelling following demolition of double garage,2024-10-21,local-authority:DNC,,,,
24/00850/FUL,Erection of ground floor pitched roof extension to rear following demolition of existing and installation of dormer window to rear in connection with formation of rooms in roof space.,2024-06-18,local-authority:DNC,,,,
24/00851/FUL,Erection of single story extension to rear and relocation of doors and windows on front and side elevations.,2024-08-16,local-authority:DNC,,,,
24/00853/TPO,"Application for permission to undertake works on a Yew Tree, protected under Doncaster Borough Council Tree Preservation Order (No.368) 2014 Orchard End, Sunderland Street, Tickhill.",2024-10-08,local-authority:DNC,,,,
24/00854/FUL,"Retrospective application for erection of outbuilding to rear, to adjoin existing outbuilding",2024-06-18,local-authority:DNC,,,,
24/00855/FUL,"Installation of new windows and doors, filling in of brickwork on elevations, demolition of existing conservatory to the rear of the building and installation of a condenser unit with a surrounding timber enclosure.",2024-09-06,local-authority:DNC,,,,
24/00856/LBC,"Installation of new windows and doors, filling in of brickwork on elevations, demolition of existing conservatory to the rear of the building, installation of a condenser unit with a surrounding timber enclosure, installation of fencing, erection of a gate and internal alterations.",2024-09-06,local-authority:DNC,,,,
24/00857/FUL,"Erection of single storey rear extension, detached outbuilding (gym) and extension to existing detached garage",2024-07-08,local-authority:DNC,,,,
24/00859/FUL,Erection of part two storey/part ground floor rear extension and raising of roof height in connection with formation of rooms in roof space.,2024-06-13,local-authority:DNC,,,,
24/00864/PRIOR,Notification to determine if prior approval is required for change of use of commercial property (Class E)  to 2 residential dwellings  (Class C3),2024-06-27,local-authority:DNC,,,,
24/00868/FUL,Erection of replacement dwelling,2024-10-02,local-authority:DNC,,,,
24/00869/FUL,"Conversion of existing HMO (C4) into 2 no. self-contained apartments (C3), with associated external alterations",2024-07-22,local-authority:DNC,,,,
24/00874/FUL,Erection of triple garage including mezzanine floor following demolition of existing shed in a conservation area,2024-07-23,local-authority:DNC,,,,
24/00875/FUL,Installation of dropped kerb and creation of hardstanding with associated grass verge conversion to hardstanding and alteration to boundary wall.,2024-07-15,local-authority:DNC,,,,
24/00878/COU,Change of use of residential property C3(a) to children's residential care (C2),2024-07-22,local-authority:DNC,,,,
24/00881/HAZ,Hazardous Substances Consent for the storage and distribution of various quantities of hazardous materials.,2024-08-01,local-authority:DNC,,,,
24/00885/3FUL,Erection of replacement utility blocks for each of the pitch sites following demolition of existing utility blocks and the addition of 1 additional pitch (Amended FRA) (Without compliance of conditions 8 - Discharge from the septic tank & 9 - Permeability Tests of 23/00049/3FUL granted on 08/08/2023),2024-10-16,local-authority:DNC,,,,
24/00888/FUL,Erection of infill rear extension to adjoin/connect existing outbuilding and rear extension and boundary wall (part Retrospective).,2024-07-18,local-authority:DNC,,,,
24/00889/FUL,Erection of a single storey rear extension following demolition of existing conservatory,2024-06-24,local-authority:DNC,,,,
24/00893/FUL,AMENDED: Erection of garage and erection of boundary wall to front of property.,2024-08-09,local-authority:DNC,,,,
24/00894/FUL,Erection of single storey pitched roof extension to the rear with internal alterations and a detached flat roof summer house,2024-06-19,local-authority:DNC,,,,
24/00899/FUL,"Erection of two storey extension to the side, and ground floor extension to the rear of dwelling.",2024-07-12,local-authority:DNC,,,,
24/00901/FULM,"Section 73 Application to Vary Condition 2 of Planning Permission 19/02734/FULM (alteration to approved layout), with variation to conditions 4, 6, 7, 8, 12 and 19 to reflect discharged details.",2024-11-29,local-authority:DNC,,,,
24/00902/FUL,Conversion from a single dwelling to two flats,2024-07-05,local-authority:DNC,,,,
24/00906/ADV,"Display of 3 totems with static illumination of varying sizes, 6 flags at 6m in height with the flags measuring 2.5m x 1m and a section of hoarding measuring 2.5m in height x 7m in length.",2024-06-27,local-authority:DNC,,,,
